|Theme|Sub-theme|Candidate|Proposition|Priority|Keywords|Data_origin|Data_source|Created_at|Updated_at
10| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|Déconjugaliser l’Allocation Adulte Handicapé.|0||Programme|IFRAP|2022-03-14|2022-03-14
11| Social & Solidarité|    Allocations & prestations sociales    | Yannick Jadot|Augmenter le chèque énergie pour les plus précaires pour atteindre 400 €/an.|0||Programme|IFRAP|2022-03-14|2022-03-14
12| Social & Solidarité|    Allocations & prestations sociales    | Jean Lassalle |Mettre en place un RSA jeune, sur critère de revenus et/ou de formation.|0||Programme|IFRAP|2022-03-14|2022-03-14
13| Social & Solidarité|    Allocations & prestations sociales    | Jean Lassalle |Déconjugaliser l'AAH.|0||Programme|IFRAP|2022-03-14|2022-03-14
14| Social & Solidarité|    Allocations & prestations sociales    | Jean Lassalle |Créer un prêt étudiant, à taux zéro et garanti par l'Etat, de 20 000 euros.|0||Programme|IFRAP|2022-03-14|2022-03-14
15| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Prêt aux jeunes parents qu’ils n’auraient plus besoin de rembourser après la naissance de leur troisième enfant.|0||Programme|IFRAP|2022-03-14|2022-03-14
16| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Réserver les aides sociales aux Français.|0||Programme|IFRAP|2022-03-14|2022-03-14
17| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Moduler la prime d’activité pour l’augmenter dans les secteurs d’activité souffrant le plus d’une pénurie de main-d’œuvre.|0||Programme|IFRAP|2022-03-14|2022-03-14
18| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Créer une prime pour les étudiants qui travaillent, conditionnée à la validation de leurs semestres.|0||Programme|IFRAP|2022-03-14|2022-03-14
19| Social & Solidarité|    Allocations & prestations sociales    | Marine Le Pen|Doubler l'allocation de soutien familial (ASF).|0||Programme|IFRAP|2022-03-14|2022-03-14
20| Social & Solidarité|    Allocations & prestations sociales    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
21| Social & Solidarité|    Allocations & prestations sociales    | Jean-Luc Mélenchon|Créer une « garantie dignité » : revaloriser les minima sociaux (aucun niveau de vie en-dessous du seuil de pauvreté).|0||Programme|IFRAP|2022-03-14|2022-03-14
22| Social & Solidarité|    Allocations & prestations sociales    | Jean-Luc Mélenchon|Loi d’urgence sociale comprenant notamment le blocage des prix des produits de première nécessité (gaz, électricité, alimentation).|0||Programme|IFRAP|2022-03-14|2022-03-14
23| Social & Solidarité|    Allocations & prestations sociales    | Jean-Luc Mélenchon|Restructurer les emprunts des ménages surendettés et garantir à tous l’accès effectif aux services bancaires de base.|0||Programme|IFRAP|2022-03-14|2022-03-14
24| Social & Solidarité|    Allocations & prestations sociales    | Jean-Luc Mélenchon|Lutter contre le non-recours aux droits sociaux et civiques par la simplification des démarches.|0||Programme|IFRAP|2022-03-14|2022-03-14
25| Social & Solidarité|    Allocations & prestations sociales    | Jean-Luc Mélenchon|Proposer une garantie d’autonomie au-dessus du seuil de pauvreté à partir de 16 ans et pour chaque étudiant détachée du foyer fiscal de ses parents (soit 1 063 euros pour une personne seule).|0||Programme|IFRAP|2022-03-14|2022-03-14
26| Social & Solidarité|    Allocations & prestations sociales    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
27| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Chiffre clé 2,6 milliards D'euros, par an, supplémentaires sur les allocations familiales|1||Programme|IFRAP|2022-03-14|2022-03-14
28| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Un étranger sans papier ne doit plus avoir automatiquement accès à des aides sociales (tarifs réduits dans les transports par exemple).|-2||Programme|IFRAP|2022-03-14|2022-03-14
29| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Restaurer l’universalité des allocations familiales et du complément mode de garde pour les familles.|0||Programme|IFRAP|2022-03-14|2022-03-14
30| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Accroître la part de la protection sociale financée par l’impôt pour répondre à l’universalisation de nombreuses prestations sociales et renforcer l’acceptabilité de la Sécurité sociale.|0||Programme|IFRAP|2022-03-14|2022-03-14
31| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Doubler les crédits d'impôt pour les familles pour favoriser la conciliation dela vie professionnelle et familliale.|0||Programme|IFRAP|2022-03-14|2022-03-14
32| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Développer les solutions d'accueil de jeunes enfants ; arrêter la ponction des allocations familles et la consacrer à toutes les familles, y compris ayant un ou eux enfants déconjugaliser l'allocation adulte handicapé.|0||Programme|IFRAP|2022-03-14|2022-03-14
33| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Congé parental étendu jusqu'aux 18 ans de l'enfant en cas de difficultés scolaires ou problèmes de santé.|0||Programme|IFRAP|2022-03-14|2022-03-14
34| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Le RSA doit donner lieu à une contrepartie d’activité d’intérêt général : chaque semaine 15 heures d'activité à la société|0||Programme|IFRAP|2022-03-14|2022-03-14
35| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Instaurer un délai de cinq ans de résidence régulière en France pour toucher ces prestations.|0||Programme|IFRAP|2022-03-14|2022-03-14
36| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Un étranger sans papier ne doit plus avoir automatiquement accès à des aides sociales (tarifs réduits dans les transports par exemple).|0||Programme|IFRAP|2022-03-14|2022-03-14
37| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Conférer aux aidants familiaux s’occupant d’enfants handicapés ou d’aînés dépendants un véritable statut en termes d’indemnisation et d’aménagements de leur vie professionnelle.|0||Programme|IFRAP|2022-03-14|2022-03-14
38| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Créer une allocation du premier enfant de 900 € par an, versée à tous les parents qui auront un enfant jusqu’à ses 18 ans, et qui s’ajoutera à la prime pour l’accueil du jeune enfant (la Paje). Augmenter aussi de 20 % les allocations pour le deuxième enfant, en la faisant passer de 1 595 € à 1 900 € par an.|0||Programme|IFRAP|2022-03-14|2022-03-14
39| Social & Solidarité|    Allocations & prestations sociales    | Valérie Pécresse|Relever les plafonds du crédit d'impôt pour les employeurs d'une garde d'enfant à domicile (jusqu'à 10 000 euros par an, contre 6 000 aujourd'hui, et ce plafond serait relevé de 1500 euros par enfant). Une mesure doublée par l'exonération des pensions alimentaires des parents célibataires. |0||Programme|IFRAP|2022-03-14|2022-03-14
40| Social & Solidarité|    Allocations & prestations sociales    | Fabien Roussel|Déconjugaliser l'AHH dans le mois qui suit les élections.|0||Programme|IFRAP|2022-03-14|2022-03-14
41| Social & Solidarité|    Allocations & prestations sociales    | Eric Zemmour |"Réserver le modèle social aux Français et aux étrangers qui payent l’impôt pour éviter toute forme d’""assistanat"" ainsi que le retour à la souveraineté économique de la France."|0||Programme|IFRAP|2022-03-14|2022-03-14
42| Social & Solidarité|    Allocations & prestations sociales    | Eric Zemmour |Fin des allocations familiales pour les étrangers.|0||Programme|IFRAP|2022-03-14|2022-03-14
43| Social & Solidarité|    Allocations & prestations sociales    | Eric Zemmour |Revenir à l'universalité des allocations familiales.|0||Programme|IFRAP|2022-03-14|2022-03-14
44| Social & Solidarité|    Allocations & prestations sociales    | Eric Zemmour |Doubler le plafond du quotient familial.|0||Programme|IFRAP|2022-03-14|2022-03-14
45| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
46| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Nicolas  Dupont-Aignan|Remplacement de toutes les cartes vitales par des cartes vitales biométriques distribuées en main propre en sous-préfecture pour mettre fin aux fraudes.|0||Programme|IFRAP|2022-03-14|2022-03-14
47| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Anne Hidalgo|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
48| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Yannick Jadot|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
49| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Jean Lassalle |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
50| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Marine Le Pen|Lutte contre la fraude sociale pour financer des mesures de baisse de fiscalité des ménages, estimée à 15 milliards d’euros.|0||Programme|IFRAP|2022-03-14|2022-03-14
51| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Marine Le Pen|Mise en place d'une carte vitale biométrique.|0||Programme|IFRAP|2022-03-14|2022-03-14
52| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
53| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Jean-Luc Mélenchon|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
54| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
55| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Valérie Pécresse|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
56| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
57| Social & Solidarité|    Lutte contre la fraude & carte vitale    | Eric Zemmour |Lutte contre la fraude sociale avec comme objectif de récupérer 50 milliards d'euros.|0||Programme|IFRAP|2022-03-14|2022-03-14
58| Social & Solidarité|    Sécurité sociale : financement & organisation    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
59| Social & Solidarité|    Sécurité sociale : financement & organisation    | Nicolas  Dupont-Aignan|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
60| Social & Solidarité|    Sécurité sociale : financement & organisation    | Anne Hidalgo|Revoir de fond en comble le financement de la protection sociale.|0||Programme|IFRAP|2022-03-14|2022-03-14
61| Social & Solidarité|    Sécurité sociale : financement & organisation    | Anne Hidalgo|Développer de nouvelles protections pour les nouvelles formes d’activité (télétravail, plateformes numériques, multi-activité).|0||Programme|IFRAP|2022-03-14|2022-03-14
62| Social & Solidarité|    Sécurité sociale : financement & organisation    | Yannick Jadot|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
63| Social & Solidarité|    Sécurité sociale : financement & organisation    | Jean Lassalle |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
64| Social & Solidarité|    Sécurité sociale : financement & organisation    | Marine Le Pen|Financer par le budget de la Sécurité sociale des systèmes de protection pour les pharmacies et les cabinets médicaux et paramédicaux.|0||Programme|IFRAP|2022-03-14|2022-03-14
65| Social & Solidarité|    Sécurité sociale : financement & organisation    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
66| Social & Solidarité|    Sécurité sociale : financement & organisation    | Jean-Luc Mélenchon|Organiser l’élection des administrateurs de la Sécurité sociale par les assurés eux-mêmes.|0||Programme|IFRAP|2022-03-14|2022-03-14
67| Social & Solidarité|    Sécurité sociale : financement & organisation    | Jean-Luc Mélenchon|Établir la filiation par reconnaissance comme principe par défaut, rembourser la procréation médicalement assistée (PMA) pour toutes les femmes et refuser la gestation pour autrui (GPA), faire prévaloir l’intérêt supérieur de l’enfant en toute circonstance.|0||Programme|IFRAP|2022-03-14|2022-03-14
68| Social & Solidarité|    Sécurité sociale : financement & organisation    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
69| Social & Solidarité|    Sécurité sociale : financement & organisation    | Valérie Pécresse|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
70| Social & Solidarité|    Sécurité sociale : financement & organisation    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
71| Social & Solidarité|    Sécurité sociale : financement & organisation    | Eric Zemmour |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
72| Territoires & Collectivités|    Aménagement & urbanisme    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
73| Territoires & Collectivités|    Aménagement & urbanisme    | Nicolas  Dupont-Aignan|1€ investi dans les métropoles = 1€ dans les villes moyennes, la ruralité et l’Outre-Mer.|0||Programme|IFRAP|2022-03-14|2022-03-14
74| Territoires & Collectivités|    Aménagement & urbanisme    | Nicolas  Dupont-Aignan|Déploiement d’internet haut débit et de la connexion mobile sur tout le territoire.|0||Programme|IFRAP|2022-03-14|2022-03-14
75| Territoires & Collectivités|    Aménagement & urbanisme    | Anne Hidalgo|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
76| Territoires & Collectivités|    Aménagement & urbanisme    | Yannick Jadot|Donner aux collectivités les moyens de traiter les friches urbaines.|0||Programme|IFRAP|2022-03-14|2022-03-14
77| Territoires & Collectivités|    Aménagement & urbanisme    | Jean Lassalle |Recréer des conseils de quartier.|0||Programme|IFRAP|2022-03-14|2022-03-14
78| Territoires & Collectivités|    Aménagement & urbanisme    | Marine Le Pen|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
79| Territoires & Collectivités|    Aménagement & urbanisme    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
80| Territoires & Collectivités|    Aménagement & urbanisme    | Jean-Luc Mélenchon|Défendre et reconstruire le maillage de transports en commun et de services publics : notamment dans les départements ruraux, les quartiers populaires et les Outre-mer.|0||Programme|IFRAP|2022-03-14|2022-03-14
81| Territoires & Collectivités|    Aménagement & urbanisme    | Jean-Luc Mélenchon|Stopper l’étalement urbain : renoncer aux grands projets inutiles et imposés, rapprocher bassins de vie et bassins d’emploi.|0||Programme|IFRAP|2022-03-14|2022-03-14
82| Territoires & Collectivités|    Aménagement & urbanisme    | Jean-Luc Mélenchon|Mettre en place des assemblées citoyennes régionales pour débattre des projets d'aménagement et d'investissement en lien avec la planification écologique.|0||Programme|IFRAP|2022-03-14|2022-03-14
83| Territoires & Collectivités|    Aménagement & urbanisme    | Jean-Luc Mélenchon|Organiser des états généraux des quartiers populaires et des espaces ruraux pour construire une véritable égalité territoriale notamment dans les services publics.|0||Programme|IFRAP|2022-03-14|2022-03-14
84| Territoires & Collectivités|    Aménagement & urbanisme    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
85| Territoires & Collectivités|    Aménagement & urbanisme    | Valérie Pécresse|Lutter contre le séparatisme urbain en mettant en place une stratégie de peuplement (pas plus de 30 % de logements sociaux par quartier) pour éradiquer en dix ans les ghettos.|0||Programme|IFRAP|2022-03-14|2022-03-14
86| Territoires & Collectivités|    Aménagement & urbanisme    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
87| Territoires & Collectivités|    Aménagement & urbanisme    | Eric Zemmour |Interdire la construction de nouvelles grandes surfaces et zones commerciales à l'entrée des villes et villages.|0||Programme|IFRAP|2022-03-14|2022-03-14
88| Territoires & Collectivités|    Aménagement & urbanisme    | Eric Zemmour |Réorienter les fonds publics destinés à la politique de la ville vers nos campagnes.|0||Programme|IFRAP|2022-03-14|2022-03-14
89| Territoires & Collectivités|    Décentralisation    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
90| Territoires & Collectivités|    Décentralisation    | Nicolas  Dupont-Aignan|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
91| Territoires & Collectivités|    Décentralisation    | Anne Hidalgo|"Décentralisation aboutie : ""Le temps des communes et de la décentralisation des pouvoirs est venue""."|0||Programme|IFRAP|2022-03-14|2022-03-14
92| Territoires & Collectivités|    Décentralisation    | Anne Hidalgo|"Souhaite un ""big bang territorial"" pour relancer la décentralisation avec un rôle accru des maires."|0||Programme|IFRAP|2022-03-14|2022-03-14
93| Territoires & Collectivités|    Décentralisation    | Yannick Jadot|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
94| Territoires & Collectivités|    Décentralisation    | Jean Lassalle |Restaurer les compétences des communes. |0||Programme|IFRAP|2022-03-14|2022-03-14
95| Territoires & Collectivités|    Décentralisation    | Marine Le Pen|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
96| Territoires & Collectivités|    Décentralisation    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
97| Territoires & Collectivités|    Décentralisation    | Jean-Luc Mélenchon|Affirmer les trois échelons d'organisation décentralisée pour mettre fin à la superposition d'échelons technocratiques.|0||Programme|IFRAP|2022-03-14|2022-03-14
98| Territoires & Collectivités|    Décentralisation    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
99| Territoires & Collectivités|    Décentralisation    | Valérie Pécresse|Décentraliser des blocs de compétences pour simplifier le mille-feuille administratif français, supprimer les doublons et rapprocher les politiques publiques des citoyens. |0||Programme|IFRAP|2022-03-14|2022-03-14
100| Territoires & Collectivités|    Décentralisation    | Valérie Pécresse|Les régions se verraient ainsi confier Pôle emploi, les missions locales, la rénovation urbaine ou la présidence des Agences régionales de santé et seraient évaluées par des indicateurs de performance.|0||Programme|IFRAP|2022-03-14|2022-03-14
101| Territoires & Collectivités|    Décentralisation    | Valérie Pécresse|Régionaliser les politiques du logement.|0||Programme|IFRAP|2022-03-14|2022-03-14
102| Territoires & Collectivités|    Décentralisation    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
103| Territoires & Collectivités|    Décentralisation    | Eric Zemmour |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
104| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
105| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Nicolas  Dupont-Aignan|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
106| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Anne Hidalgo|Création d'un conseil aux collectivités, notamment pour les petites communes, et un contrôle a posteriori par les chambres régionales des comptes et les tribunaux administratifs.|0||Programme|IFRAP|2022-03-14|2022-03-14
107| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Yannick Jadot|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
108| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean Lassalle |Rétablir le cumul de mandats de député-maire et de sénateur-maire.|0||Programme|IFRAP|2022-03-14|2022-03-14
109| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean Lassalle |Abroger les lois Notre et Mapta.|0||Programme|IFRAP|2022-03-14|2022-03-14
110| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Marine Le Pen|Rééquilibrage entre les grandes métropoles et zones rurales.|0||Programme|IFRAP|2022-03-14|2022-03-14
111| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
112| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Rendre aux communes leur liberté de coopération et le rôle de cellule de base de la démocratie locale. |0||Programme|IFRAP|2022-03-14|2022-03-14
113| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Donner à la Corse le statut garanti par l'article 74 de la Constition.|0||Programme|IFRAP|2022-03-14|2022-03-14
114| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Rendre effectif le principe du non-cumul des mandats et des indemnités (un seul au même moemnt, deux mêmes mandats consécutifs maximum).|0||Programme|IFRAP|2022-03-14|2022-03-14
115| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Organiser la sortie du mandat : garantir un droit à la formation professionnelle pour les élus.|0||Programme|IFRAP|2022-03-14|2022-03-14
116| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Redécouper les Régions à partir des bassins versants et leur confier l'eau comme première responsabilité. Supprimer les mégarégions, les régions transfrontalières et les métropoles et revenir sur l'obligation d'appartenance des communes à des intercommunalités en abrogeant la loi NOTRe.|0||Programme|IFRAP|2022-03-14|2022-03-14
117| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|"Interdire le ""droit à la différenciation"" afin de garantir l'égalité entre les citoyens et réserver le statut de collectivité unique aux territoires insulaires et des Outre-mer."|0||Programme|IFRAP|2022-03-14|2022-03-14
118| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Recomposer les assemblées régionales à partir des élections des conseillers départementaux.|0||Programme|IFRAP|2022-03-14|2022-03-14
119| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Réquilibrer la dotation globale de fonctionnement versée aux communes pour lutter contre les inégalités territoriales.|0||Programme|IFRAP|2022-03-14|2022-03-14
120| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Réaffirmer le rôle du département comme échelle pertinente pour organiser le maillage équilibré du territoire en services publics essentiels à la population.|0||Programme|IFRAP|2022-03-14|2022-03-14
121| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Jean-Luc Mélenchon|Renforcer les dotations de l'Etat pour les territoires et régions en retard de développement économique et social.|0||Programme|IFRAP|2022-03-14|2022-03-14
122| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
123| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Valérie Pécresse|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
124| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
125| Territoires & Collectivités|    Réforme territoriale & élus locaux    | Eric Zemmour |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
126| Politiques Publiques|    Droits individuels & égalité    | Nathalie Arthaud |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
127| Politiques Publiques|    Droits individuels & égalité    | Nicolas  Dupont-Aignan|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
128| Politiques Publiques|    Droits individuels & égalité    | Anne Hidalgo|Droit à mourir dans la dignité.|0||Programme|IFRAP|2022-03-14|2022-03-14
129| Politiques Publiques|    Droits individuels & égalité    | Anne Hidalgo|"Loi sur l'égalité hommes-femmes pour atteindre l'égalité salariale en 5 ans et d'instaurer une ""parité réelle"" dans les instances publiques et les conseils d'administration. Et inverser la charge de la preuve pour qu’il revienne à l’entreprise de prouver qu’elle n’est pas coupable de discrimination en matière de salaires. "|0||Programme|IFRAP|2022-03-14|2022-03-14
130| Politiques Publiques|    Droits individuels & égalité    | Yannick Jadot|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
131| Politiques Publiques|    Droits individuels & égalité    | Jean Lassalle |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
132| Politiques Publiques|    Droits individuels & égalité    | Marine Le Pen|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
133| Politiques Publiques|    Droits individuels & égalité    | Emmanuel Macron|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
134| Politiques Publiques|    Droits individuels & égalité    | Jean-Luc Mélenchon|Adopter une loi de lutte contre le sexisme : imposer l’égalité entre les femmes et les hommes dans les institutions politiques, administratives, économiques, syndicales et associatives.|0||Programme|IFRAP|2022-03-14|2022-03-14
135| Politiques Publiques|    Droits individuels & égalité    | Jean-Luc Mélenchon|Renforcer les moyens contre les violences faites aux femmes et renforcer le planning familial. Investir 1 milliard d'euros pour lutter contre les violences faites aux femmes.|0||Programme|IFRAP|2022-03-14|2022-03-14
136| Politiques Publiques|    Droits individuels & égalité    | Jean-Luc Mélenchon|Ouvrir l’adoption plénière à tous les couples, mariés ou non.|0||Programme|IFRAP|2022-03-14|2022-03-14
137| Politiques Publiques|    Droits individuels & égalité    | Philippe  Poutou |Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
138| Politiques Publiques|    Droits individuels & égalité    | Valérie Pécresse|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
139| Politiques Publiques|    Droits individuels & égalité    | Fabien Roussel|Proposition non encore connue|-1||Programme|IFRAP|2022-03-14|2022-03-14
140| Politiques Publiques|    Droits individuels & égalité    | Eric Zemmour |Bloquer la PMA sans père et/ou sans mère.|0||Programme|IFRAP|2022-03-14|2022-03-14
141| Politiques Publiques|    Jeunesse & Education    | Nathalie Arthaud |Créer des postes dans l'Education nationale.|0||Programme|IFRAP|2022-03-14|2022-03-14
142| Politiques Publiques|    Jeunesse & Education    | Nicolas  Dupont-Aignan|Chiffre clé 250 000 Ouvertures de places de crèche|1||Programme|IFRAP|2022-03-14|2022-03-14
143| Politiques Publiques|    Jeunesse & Education    | Nicolas  Dupont-Aignan|Doublement du personnel en charge de la médecine scolaire.|0||Programme|IFRAP|2022-03-14|2022-03-14
